#monsterdrop_test1				\r
TechLevel	ContentIds	Weight	Points	\r
	possesed_jungleman possesed_jungleman possesed_jungleman possesed_jungleman	100	250	\r
	possesed_jungleman possesed_jungleman possesed_jungleman possesed_jungleman possesed_jungleman possesed_jungleman	80	750	\r
#end				\r
				\r
#monsterdrop_crtutorial2				\r
TechLevel	ContentIds	Weight	Points	\r
	cresist_free_worker_man cresist_free_worker_woman cresist_free_worker_woman	60	50	\r
	cresist_free_worker_man cresist_free_worker_woman woman_lowskills_worker_cresist	60	50	\r
	man_worker_cresist woman_worker_cresist cresist_free_worker_man	60	50	\r
	cresist_free_worker_woman cresist_soldier_man man_medic_cres woman_medic_cres	30	60	\r
	cresist_free_worker_woman man_worker_cresist woman_worker_cresist man_medic_cres woman_medic_cres	30	60	\r
	woman_medic_cres man_worker_cresist woman_lowskills_worker_cresist	30	60	\r
	woman_lowskills_worker_cresist cresist_soldier_man cresist_soldier_woman	15	80	\r
	woman_worker_cresist cresist_free_worker_man cresist_free_worker_woman security_man_cres security_woman_cres	15	80	\r
	woman_medic_cres security_man_cres security_woman_cres	15	80	\r
	cresist_soldier_woman security_man_cres security_woman_cres security_woman_cres	10	100	\r
	security_woman_cres man_worker_cresist woman_lowskills_worker_cresist man_worker_cresist woman_worker_cresist	10	100	\r
	security_man_cres security_woman_cres security_man_cres security_woman_cres	10	100	\r
#end				\r
				\r
#monsterdrop_ComAndAnarchy1				\r
TechLevel	ContentIds	Weight	Points	\r
	realware_milita_man realware_milita_woman security_man_rw	60	30	\r
	man_medic_rw realware_milita_man realware_milita_woman	60	30	\r
	realware_milita_man realware_milita_woman security_man_rw security_woman_rw	60	30	\r
	realware_warrobot realware_milita_man realware_milita_woman realware_milita_woman	30	40	\r
	realware_milita_man realware_milita_woman man_medic_rw security_man_rw security_woman_rw	30	40	\r
	heavy_security_man_rw heavy_security_woman_rw mercury_force_woman	30	40	\r
	realware_warrobot heavy_security_woman_rw security_man_rw	10	60	\r
