#monsters																																	
Id		CreatureClass	Health	StarvationLimit	PainThresholdLimit	PainThresholdRegen	Damage	ResistSheet	WoundSlots	MeleeAccuracy	RangeAccuracy	Dodge	MeleeStunChance	MeleeStunDuration	MeleeThrowbackChance	EquipmentVariants	ReceiveAmputationChance	ReceiveWoundChanceMult	AttackWoundChanceMult	QuazimorphosisReward	AllowEccolapse	ScaleQuasimorphStats	MutateMonsterId	MutateBonusChance	IgnoreThrowback	HasInventoryWeaponSlots	HasInventoryEquipmentSlots	ActionPoints	AiPresetId	DeathExplosionRadius	ExplosionDamageType	DeathExplosionDamage	Immunity
possesed_prisoner		Human	40	1000	20	2	blunt 20 28 crit 2.05 critchance 0.15	blunt 4 pierce 4 lacer 4 fire 0 cold 0 poison 4 shock 4 beam 0	HumanHead HumanShoulder HumanArm HumanThigh HumanFeet HumanChest HumanBody HumanStomach HumanKnee	0.55	0.2	0.05	0.15	1	0.2	prisoner_1 10 prisoner_2 10 prisoner_3 10 prisoner_4 10 prisoner_5 10 prisoner_6 10	0.3	1	1	5	TRUE	TRUE		0	FALSE	TRUE	TRUE	2	possesed				
possesed_prisoner_woman		Human	30	1000	14	1	lacer 18 26 crit 1.90 critchance 0.3	blunt 2 pierce 2 lacer 2 fire 0 cold 0 poison 2 shock 2 beam 0	HumanHead HumanShoulder HumanArm HumanThigh HumanFeet HumanChest HumanBody HumanStomach HumanKnee	0.5	0.25	0.1	0.1	1	0.2	prisoner_1 10 prisoner_2 10 prisoner_3 10 prisoner_4 10 prisoner_5 10 prisoner_6 10	0.3	1	1	5	TRUE	TRUE		0	FALSE	TRUE	TRUE	3	possesed				
possesed_man_worker		Human	30	1000	14	1	blunt 16 24 crit 1.80 critchance 0.15	blunt 4 pierce 4 lacer 4 fire 0 cold 0 poison 4 shock 4 beam 0	HumanHead HumanShoulder HumanArm HumanThigh HumanFeet HumanChest HumanBody HumanStomach HumanKnee	0.5	0.15	0.02	0	0	0.2	lowskills_1 10 lowskills_2 10 lowskills_3 10 lowskills_4 10 lowskills_5 10 lowskills_6 10 worker_1 10 worker_2 10 worker_3 10 worker_4 10 worker_5 10 worker_6 10	0.3	1	1	5	TRUE	TRUE		0	FALSE	TRUE	TRUE	2	possesed				
possesed_woman_worker		Human	20	1000	10	1	lacer 14 22 crit 1.85 critchance 0.3	blunt 2 pierce 2 lacer 2 fire 0 cold 0 poison 2 shock 2 beam 0	HumanHead HumanShoulder HumanArm HumanThigh HumanFeet HumanChest HumanBody HumanStomach HumanKnee	0.5	0.15	0.1	0	0	0.2	lowskills_1 10 lowskills_2 10 lowskills_3 10 lowskills_4 10 lowskills_5 10 lowskills_6 10 worker_1 10 worker_2 10 worker_3 10 worker_4 10 worker_5 10 worker_6 10	0.3	1	1	5	TRUE	TRUE		0	FALSE	TRUE	TRUE	3	possesed				
possesed_jungleman		Human	30	1000	14	1	blunt 16 24 crit 1.80 critchance 0.15	blunt 4 pierce 4 lacer 4 fire 0 cold 0 poison 4 shock 4 beam 0	HumanHead HumanShoulder HumanArm HumanThigh HumanFeet HumanChest HumanBody HumanStomach HumanKnee	0.5	0.15	0.02	0	0	0.2	pos_jungleman_1 10 pos_jungleman_2 10 pos_jungleman_3 10 pos_jungleman_4 10	0.3	1	1	5	TRUE	TRUE		0	FALSE	TRUE	TRUE	2	possesed				
possesed_junglewoman		Human	20	1000	10	1	lacer 14 22 crit 1.85 critchance 0.3	blunt 2 pierce 2 lacer 2 fire 0 cold 0 poison 2 shock 2 beam 0	HumanHead HumanShoulder HumanArm HumanThigh HumanFeet HumanChest HumanBody HumanStomach HumanKnee	0.5	0.15	0.1	0	0	0.2	pos_jungleman_1 10 pos_jungleman_2 10 pos_jungleman_3 10 pos_jungleman_4 10	0.3	1	1	5	TRUE	TRUE		0	FALSE	TRUE	TRUE	3	possesed				
possesed_azt_man		Human	40	1000	20	2	blunt 20 28 crit 2.05 critchance 0.15	blunt 6 pierce 6 lacer 6 fire 0 cold 0 poison 6 shock 6 beam 0	HumanHead HumanShoulder HumanArm HumanThigh HumanFeet HumanChest HumanBody HumanStomach HumanKnee	0.55	0.15	0.02	0	0	0.2	pos_azt_1 10 pos_azt_2 10 pos_azt_3 10 pos_azt_4 10	0.3	1	1	5	TRUE	TRUE		0	FALSE	TRUE	TRUE	2	possesed				
possesed_azt_woman		Human	30	1000	14	1	lacer 18 26 crit 1.90 critchance 0.3	blunt 4 pierce 4 lacer 4 fire 0 cold 0 poison 4 shock 4 beam 0	HumanHead HumanShoulder HumanArm HumanThigh HumanFeet HumanChest HumanBody HumanStomach HumanKnee	0.55	0.15	0.14	0	0	0.2	pos_azt_1 10 pos_azt_2 10 pos_azt_3 10 pos_azt_4 10	0.3	1	1	5	TRUE	TRUE		0	FALSE	TRUE	TRUE	3	possesed				
possesed_elite_azt_man		Human	60	1000	24	2	blunt 28 32 crit 2.15 critchance 0.2	blunt 8 pierce 8 lacer 8 fire 0 cold 0 poison 8 shock 8 beam 0	HumanHead HumanShoulder HumanArm HumanThigh HumanFeet HumanChest HumanBody HumanStomach HumanKnee	0.6	0.2	0.04	0	0	0.2	pos_elite_azt_1 10 pos_elite_azt_2 10	0.3	1	1	5	TRUE	TRUE		0	FALSE	TRUE	TRUE	2	possesed				
possesed_elite_azt_woman		Human	50	1000	24	2	lacer 26 30 crit 2.05 critchance 0.35	blunt 6 pierce 6 lacer 6 fire 0 cold 0 poison 6 shock 6 beam 0	HumanHead HumanShoulder HumanArm HumanThigh HumanFeet HumanChest HumanBody HumanStomach HumanKnee	0.6	0.2	0.18	0	0	0.2	pos_elite_azt_1 10 pos_elite_azt_2 10	0.3	1	1	5	TRUE	TRUE		0	FALSE	TRUE	TRUE	3	possesed				
possesed_church_man		Human	30	1000	14	1	blunt 16 24 crit 1.80 critchance 0.15	blunt 4 pierce 4 lacer 4 fire 0 cold 0 poison 4 shock 4 beam 0	HumanHead HumanShoulder HumanArm HumanThigh HumanFeet HumanChest HumanBody HumanStomach HumanKnee	0.5	0.15	0.02	0	0	0.2	pos_church_1 10 pos_church_2 10 pos_church_3 10 pos_church_4 10	0.3	1	1	5	TRUE	TRUE		0	FALSE	TRUE	TRUE	2	possesed				
