								
#station_barter								
Id	CorpProduceItems	CorpAdditionalConsumeItems	CivResProduceItems	CivResAdditionalConsumeItems	QuasiProduceItems	QuasiAdditionalConsumeItems	PiratesProduceItems	PiratesAdditionalConsumeItems
FlatObsidian	science_mining_4 science_mining_1 med_prod_2	moon_crossbow mercury_staff moon_heavy_armor moon_armor azt_light_armor azt_heavy_armor venus_armor_shards moon_armor_shards demonic_aye skull_explosion skull_ray skull_contract_mercury skull_bloodstrike skull_bloodlust skull_call_of_blood skull_contract_venus skull_transformation skull_resurrection skull_contract_luna itemChip mediumItemChip highItemChip merkUSB classUSB	science_mining_1 resistant_prod_1 med_prod_2	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	weapon_container robot_parts_container ai_module quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components	science_mining_4 med_prod_2	moon_crossbow mercury_staff moon_heavy_armor moon_armor azt_light_armor azt_heavy_armor venus_armor_shards moon_armor_shards demonic_aye skull_explosion skull_ray skull_contract_mercury skull_bloodstrike skull_bloodlust skull_call_of_blood skull_contract_venus skull_transformation skull_resurrection skull_contract_luna itemChip mediumItemChip highItemChip merkUSB classUSB
Rachmaninoff	prod_industry_1 prod_industry_4 prod_industry_6 prod_industry_8 capital_asset_1 armor_prod_3	servo_backpack electrical_parts_container quasi_sensor_device management_unit darknet_unit military_unit drug_cargo gunbang_magazine itemChip mediumItemChip highItemChip merkUSB classUSB	prod_industry_1 prod_industry_4 resistant_prod_2 armor_prod_3	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	weapon_container robot_parts_container ai_module quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components	prod_industry_6 prod_industry_8 armor_prod_2	servo_backpack electrical_parts_container quasi_sensor_device management_unit darknet_unit military_unit drug_cargo gunbang_magazine itemChip mediumItemChip highItemChip merkUSB classUSB
Discovery	science_industry_1 science_industry_2 science_industry_7 science_industry_8 med_prod_5	moon_crossbow mercury_staff moon_heavy_armor moon_armor azt_light_armor azt_heavy_armor venus_armor_shards moon_armor_shards demonic_aye skull_explosion skull_ray skull_contract_mercury skull_bloodstrike skull_bloodlust skull_call_of_blood skull_contract_venus skull_transformation skull_resurrection skull_contract_luna itemChip mediumItemChip highItemChip merkUSB classUSB	science_industry_1 science_industry_2 resistant_prod_2 med_prod_5	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	weapon_container robot_parts_container ai_module quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components	science_industry_7 science_industry_8 med_prod_5	moon_crossbow mercury_staff moon_heavy_armor moon_armor azt_light_armor azt_heavy_armor venus_armor_shards moon_armor_shards demonic_aye skull_explosion skull_ray skull_contract_mercury skull_bloodstrike skull_bloodlust skull_call_of_blood skull_contract_venus skull_transformation skull_resurrection skull_contract_luna itemChip mediumItemChip highItemChip merkUSB classUSB
CalorisPlanitia	prod_mining_1 prod_mining_5 prod_mining_2 mil_ammo_depo_4	servo_backpack electrical_parts_container quasi_sensor_device management_unit darknet_unit military_unit drug_cargo gunbang_magazine itemChip mediumItemChip highItemChip merkUSB classUSB	prod_mining_5 prod_mining_1 resistant_prod_2 mil_ammo_depo_4	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	weapon_container robot_parts_container ai_module quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components	prod_mining_2 mil_ammo_depo_4	servo_backpack electrical_parts_container quasi_sensor_device management_unit darknet_unit military_unit drug_cargo gunbang_magazine itemChip mediumItemChip highItemChip merkUSB classUSB
Goethe	science_mining_4 science_mining_2 power_action_5	moon_crossbow mercury_staff moon_heavy_armor moon_armor azt_light_armor azt_heavy_armor venus_armor_shards moon_armor_shards demonic_aye skull_explosion skull_ray skull_contract_mercury skull_bloodstrike skull_bloodlust skull_call_of_blood skull_contract_venus skull_transformation skull_resurrection skull_contract_luna itemChip mediumItemChip highItemChip merkUSB classUSB	science_mining_2 power_action_5 resistant_prod_2	armor_repair_kit weapon_repair_kit melee_repair_kit security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	weapon_container robot_parts_container ai_module quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components	science_mining_4 power_action_5	moon_crossbow mercury_staff moon_heavy_armor moon_armor azt_light_armor azt_heavy_armor venus_armor_shards moon_armor_shards demonic_aye skull_explosion skull_ray skull_contract_mercury skull_bloodstrike skull_bloodlust skull_call_of_blood skull_contract_venus skull_transformation skull_resurrection skull_contract_luna itemChip mediumItemChip highItemChip merkUSB classUSB
Boethius	spy_mining_1 spy_mining_2 spy_mining_3 transit_3 melee_prod_2 fire_prod_pist_1	miner_clothing_container worker_clothing_container weapon_container electrical_parts_container ai_module communication_relay quasi_sensor_device geoscanner_device chemical_analyzer hydraulic_pump packaged_recreational_robot itemChip mediumItemChip highItemChip merkUSB classUSB	spy_mining_1 resistant_prod_2 melee_prod_5 fire_prod_pist_1	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	weapon_container robot_parts_container ai_module quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components	spy_mining_3 melee_prod_4 fire_prod_pist_1	miner_clothing_container worker_clothing_container weapon_container electrical_parts_container ai_module communication_relay quasi_sensor_device geoscanner_device chemical_analyzer hydraulic_pump packaged_recreational_robot itemChip mediumItemChip highItemChip merkUSB classUSB
Mammoth	food_industry_1 food_industry_2 food_industry_3 food_industry_4 transit_1 food_prod_1	worker_clothing_container ai_module scientific_equipment research_disk prototype_schematics precious_metals gunbang_magazine medical_components itemChip mediumItemChip highItemChip merkUSB classUSB	food_industry_1 food_industry_2 food_industry_3 food_industry_4 resistant_prod_2 food_prod_1	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	weapon_container robot_parts_container ai_module quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components	food_industry_1 food_industry_2 food_prod_1 food_prod_3 food_prod_5	worker_clothing_container ai_module scientific_equipment research_disk prototype_schematics precious_metals gunbang_magazine medical_components itemChip mediumItemChip highItemChip merkUSB classUSB
Rhino	other_industry_2 other_industry_3 other_industry_4 other_industry_5 fire_prod_shotg_2	military_food_container communication_relay mining_equipment construction_equipment memory_software entertainment_software packaged_recreational_robot itemChip mediumItemChip highItemChip merkUSB classUSB	other_industry_2 other_industry_3 resistant_prod_2 fire_prod_shotg_1	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	weapon_container robot_parts_container ai_module quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components	other_industry_4 other_industry_5 fire_prod_shotg_1	military_food_container communication_relay mining_equipment construction_equipment memory_software entertainment_software packaged_recreational_robot itemChip mediumItemChip highItemChip merkUSB classUSB
Kizzuwatna	food_mining_4 food_mining_3 fire_prod_pist_3	ai_module scientific_equipment research_disk prototype_schematics precious_metals gunbang_magazine medical_components itemChip mediumItemChip highItemChip merkUSB classUSB	food_mining_4 food_mining_3 resistant_prod_2 fire_prod_pist_2 food_prod_4	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	weapon_container robot_parts_container ai_module quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components	food_mining_4 food_mining_3 fire_prod_pist_3 food_prod_4	ai_module scientific_equipment research_disk prototype_schematics precious_metals gunbang_magazine medical_components itemChip mediumItemChip highItemChip merkUSB classUSB
Lomonosov	science_industry_1 science_industry_2 science_industry_3 science_industry_4 tech_ammo_depo_1	moon_crossbow mercury_staff moon_heavy_armor moon_armor azt_light_armor azt_heavy_armor venus_armor_shards moon_armor_shards demonic_aye skull_explosion skull_ray skull_contract_mercury skull_bloodstrike skull_bloodlust skull_call_of_blood skull_contract_venus skull_transformation skull_resurrection skull_contract_luna itemChip mediumItemChip highItemChip merkUSB classUSB	science_industry_1 science_industry_2 resistant_prod_2 tech_ammo_depo_2	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	weapon_container robot_parts_container ai_module quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components	science_industry_3 science_industry_4 tech_ammo_depo_1	moon_crossbow mercury_staff moon_heavy_armor moon_armor azt_light_armor azt_heavy_armor venus_armor_shards moon_armor_shards demonic_aye skull_explosion skull_ray skull_contract_mercury skull_bloodstrike skull_bloodlust skull_call_of_blood skull_contract_venus skull_transformation skull_resurrection skull_contract_luna itemChip mediumItemChip highItemChip merkUSB classUSB
