#meleeweapons																																	
Id		Price	Weight	InventoryWidthSize	WeaponClass	WeaponSubClass	RequiredAmmo	OverrideAmmo	DefaultAmmoId	Damage	Firemodes	MagazineCapacity	ReloadDuration	ReloadOneClip	DurabilityLossOnThrow	ThrowRange	MeleeCanAmputate	MaxDurability	MinDurabilityAfterRepair	Unbreakable	RepairCategory												
army_knife		100	0.7	2	Knife	Default			implicted_combat_knife	12 16 crit 1.50	knife_single knife_triple	0	1	FALSE	1	5	TRUE	90	0	FALSE	pierce_melee												
elite_knife		200	0.5	2	Knife	Default			implicted_combat_knife	18 20 crit 1.50	knife_single knife_triple	0	1	FALSE	1	5	TRUE	90	0	FALSE	pierce_melee												
miner_knife		100	0.3	2	Knife	Default			implicted_knife	10 14 crit 1.50	knife_single knife_triple	0	1	FALSE	1	5	TRUE	75	0	FALSE	pierce_melee												
glass_knife		200	0.1	1	Knife	Default			implicted_knife	10 12 crit 1.50	knife_single knife_triple	0	1	FALSE	1	5	TRUE	30	0	FALSE	nothing												
azt_sickle		200	1.2	2	Knife	Default			implicted_combat_knife	12 24 crit 1.75	knife_single	0	1	FALSE	1	5	TRUE	90	0	FALSE	venus_weapon												
azt_fistclaw		600	2.2	2	Fist	Default			implicted_combat_knife	24 48 crit 1.55	knife_single knife_triple	0	1	FALSE	1	0	TRUE	120	0	FALSE	venus_weapon												
corp_bone		20	1	2	Knife	Default			implicted_knife	8 12 crit 2.00	knife_single knife_triple	0	1	FALSE	1	5	TRUE	60	0	FALSE	nothing												
spider_claw		20	0.8	2	Knife	Default			implicted_knife	12 26 crit 1.75	knife_single	0	1	FALSE	1	5	TRUE	60	0	FALSE	nothing												
machete		200	4	2	Blade	Default			implicted_katana	20 24 crit 1.50	blade_single	0	1	FALSE	1	0	TRUE	120	0	FALSE	pierce_melee												
tech_katana		400	4	2	Blade	Default			implicted_katana	16 36 crit 1.75	blade_single blade_double	0	1	FALSE	1	0	TRUE	105	0	FALSE	pierce_melee												
scrivnus_sword		800	4	2	Blade	Default			implicted_katana	24 36 crit 1.75	blade_single blade_double	0	1	FALSE	1	0	TRUE	105	0	FALSE	nothing												
moon_falchion		800	4	2	Blade	Default			implicted_katana	30 44 crit 1.50	blade_single	0	1	FALSE	1	0	TRUE	120	0	FALSE	moon_weapon												
metal_pipe		20	2	2	Club	Default			implicted_club	16 20 crit 1.40	blunt_single blunt_duble	0	1	FALSE	1	5	FALSE	90	0	FALSE	nothing												
scarp_club		20	2	2	Club	Default			implicted_heavy_axe	14 18 crit 1.75	axe_single axe_heavy	0	1	FALSE	1	5	TRUE	90	0	FALSE	trash_weapon												
pmc_club		100	2	2	Club	Default			implicted_club	16 24 crit 1.50	blunt_single blunt_duble	0	1	FALSE	1	5	FALSE	120	0	FALSE	blunt_melee												
azt_club		200	3	2	Club	Default			implicted_club	24 28 crit 1.30	blunt_single blunt_heavy	0	1	FALSE	1	5	FALSE	120	0	FALSE	venus_weapon												
corp_hand		20	4	2	Club	Default			implicted_body_part	14 18 crit 1.40	blunt_single blunt_heavy	0	1	FALSE	1	5	FALSE	60	0	FALSE	nothing												
corp_leg		20	5	2	Club	Default			implicted_body_part	14 18 crit 1.40	blunt_single blunt_heavy	0	1	FALSE	1	5	FALSE	60	0	FALSE	nothing												
