	English	Russian	German	Frenсh	Spanish	Polish	Turkish	BrazilianPortugal	Korean	Japanese	ChineseSimp
ui.lang	English	Русский	Deutsch	Francais	Español	Polski	Türkçe	Português Brasileiro	한국어	日本	中国人
ui.fist.name	fist	кулак	Faust	poing	puño	pięść	yumruk	punho	주먹	素手	拳头
ui.label.continue	continue	продолжить	Weiter	continuer	continuar	kontynuuj	devam et	continuar	이어하기	続行	继续
ui.label.pause	(pause)	(пауза)	(Pause)	(pause)	(pausa)	(Pauza)	(duraklat)	(pausa)	(일시 정지)	（一時停止）	（暂停）
ui.label.close	close	закрыть	Schließen	fermer	cerrar	zamknij	kapat	fechar	닫기	近距離	关闭
ui.label.safezone	safe zone	безопасная зона	Sichere Zone	zone de sécurité	zona segura	bezp. strefa	güvenli bölge	zona segura	안전 구역	セーフゾーン	安全区
ui.label.toskip	hold to skip	пропустить	zum Überspringen halten	maintenir pour passer	mantener pulsado para omitir	przytrzymaj, by pominąć	geçmek için basılı tut	segure para pular	길게 눌러 건너뛰기	長押しでスキップ	长按跳过
ui.label.modificator	modificator	модификатор	Modifikator	modificateur	modificador	modyfikator	modifikatör	modificador	수정치	MOD	修正
ui.label.level	level	уровень	Stufe	niveau	nivel	poziom	seviye	nível	레벨	レベル	层级
ui.label.effect	effect	эффект	Effekt	effet	efecto	efekt	etki	efeito	효과	エフェクト	效果
ui.label.none	none	нет	Nichts	sans	ninguno	brak	yok	nenhum	없음	なし	无
ui.label.exit	exit	выход	Verlassen	sortie	abandonar	wyjście	çıkış	sair	출구	終了	退出
ui.label.evacuation	evacuation	эвакуация	Evakuierung	évacuation	evacuación	ewakuacja	tahliye	evacuação	대피	撤退	撤离
ui.label.activity	activity	активность	Aktivität	activité	actividad	aktywność	faaliyet	atividade	활동	アクティビティ	活动
ui.label.dead	dead	мертво	Tot	mort	muerto	nie żyje	ölü	morto	사망	死亡	死亡
ui.label.noclass	no class	нет класса	Keine Klasse	aucune classe	sin clase	brak klasy	sınıfı yok	sem classe	클래스 없음	クラスなし	无职业
ui.label.return	return	вернуться	Zurück	retour	regresar	powrót	geri dön	voltar	돌아가기	リターン	返回
ui.label.selectclass	select class	выбрать класс	Klasse wählen	choix de classe	seleccionar la clase	wybierz klasę	sınıf seç	selecionar classe	클래스 선택	クラスを選択	选择职业
ui.label.changeclass	change class	изменить класс	Klasse wechseln	changer de classe	cambiar clase	zmień klasę	sınıf değiştir	mudar classe	클래스 변경	クラス変更	切换职业
ui.label.finishmission	finish mission	завершить миссию	Mission abschließen	finir mission	terminar la misión	ukończ misję	görevi bitir	terminar missão	임무 완수	任務を完了	完成任务
ui.label.starttravel	start travel	начать путешествие	Reise beginnen	lancer voyage	iniciar viaje	rozpocznij podróż	seferi başlat	iniciar viagem	여행 시작	移動を開始	开始移动
ui.label.missionavailable	mission available	доступно задание	Mission verfügbar	mission disponible	misión disponible	dostępna jest misja	görev mevcut	missão disponível	임무 가능	開始可能な任務あり	可选任务
ui.label.additional	Extra:	Дополнительно:	Extra:	Bonus :	Extra:	Dodatkowo:	İlave:	Extra:	추가 정보:	その他：	额外：
ui.label.pay	Payment	Оплата	Bezahlung	Paiement	Premio	Wypłata	Öde	Pagamento	급여	支払い	报酬
ui.label.day_short	d	д	T	j	d	dn.	g	d	일	日	天
ui.label.hour_short	h	ч	h	h	h	godz.	sa	h	시간	時間	小时
ui.label.minute_short	m	м	m	m	m	m	d	m	분	微細	分钟
ui.label.onway	in transit	в пути	unterwegs	en transit	en tránsito	w drodze	yolda	em trânsito	수송 중	移動中	移动中
ui.label.items	items	предметы	Gegenstände	objets	objetos	przedmioty	eşyalar	itens	아이템	アイテム	物品
ui.label.corpse	corpse	труп	Leiche	corps	cadáver	zwłoki	ceset	corpo	시체	死体	尸体
ui.label.ladder_up	ladder up	лестница наверх	Leiter hoch	monter échelle	subir escalera	do góry	merdiveni tırman	escada acima	올라가기	はしごを上る	楼梯上行
ui.label.ladder_down	ladder down	лестница вниз	Leiter runter	descendre échelle	bajar escalera	w dół	merdivenden in	escada abaixo	내려가기	はしごを下りる	楼梯下行
ui.label.amplifier	Amplifier	Усилитель	Verstärker	Amplificateur	Amplificador	Wzmacniacz	Amplifikatör	Amplificador	증폭기	増幅器	信号增强器
ui.label.container	container	контейнер	Behälter	container	contenedor	pojemnik	kutu	contêiner	컨테이너	コンテナ	容器
ui.label.bramfaturaportal	Bramfatura portal	брамфатурный портал	Bramfatura-Portal	Portail de la Bramfatura	Portal de Bramfatura	Portal bramfatury	Bramfatura geçidi	Portal da bramfatura	브람파투라 포털	ブラムファトゥーラのポータル	布劳法图拉传送门
ui.label.monsterspeed	speed	скорость	Geschwindigkeit	vitesse	velocidad	szybkość	hız	velocidade	속도	速度	速度
ui.label.walkingtype	walking type	тип перемещения	Bewegungsart	type de marche	tipo de marcha	typ ruchu	hareket türü	tipo de caminhada	이동 유형	歩行タイプ	移动方式
ui.label.cal	kcal	ккал	cal	cal	cal	kalorie	cal	cal	칼로리	cal	卡路里
ui.label.kg	kg	кг	kg	kg	kg	kg	kg	kg	kg	kg	公斤
ui.label.actionpoints_short	AP	ОД	AP	PA	PA	PD	EP	PA	AP	AP	AP
ui.label.turns	turns	ход.	Runden	tours	turnos	tury	sıra	turnos	턴	ターン	回合
ui.label.health	HP	ОЗ	HP	PV	PV	PŻ	SG	PV	HP	HP	生命值
ui.label.points_short	pts	оч	Pkte	pts	pts	pkt	puan	pts	점	ポイント	分
ui.label.row	row	ряд	Reihe	rangée	fila	rząd	sıra	linha	행	列	行
ui.label.slot	slot	слот	Slot	emplacement	ranura	slot	yuva	slot	슬롯	スロット	插槽
ui.label.kills	kills	убийств	Tötungen	tueries	asesinatos	zabójstwa	öldürmeler	mortes	살인	殺害	杀害
ui.label.floor	Floor	Этаж	Stockwerk	Niveau	Piso	Poziom	Kat	Andar	층	フロア	层
ui.label.satietylevel	satiety level	уровень насыщения	Sättigung	satiété	nivel de saciedad	poziom sytości	tokluk seviyesi	nível de saciedade	포만감 레벨	満腹度	饥饿水平
