	English						
ui.lang	English						
ui.fist.name	fist						
ui.label.continue	continue						
ui.label.pause	(pause)						
ui.label.close	close						
ui.label.safezone	safe zone						
ui.label.toskip	hold to skip						
ui.label.modificator	modificator						
ui.label.level	level						
ui.label.level_short	lv.						
ui.label.effect	effect						
ui.label.none	none						
ui.label.exit	exit						
ui.label.evacuation	evacuation						
ui.label.activity	activity						
ui.label.dead	dead						
ui.label.noclass	no class						
ui.label.return	return						
ui.label.selectclass	select class						
ui.label.changeclass	change class						
ui.label.finishmission	finish mission						
ui.label.starttravel	start travel						
ui.label.missionavailable	mission available						
ui.label.additional	Extra:						
ui.label.pay	Payment						
ui.label.week_short	w						
ui.label.day_short	d						
ui.label.hour_short	h						
ui.label.minute_short	m						
ui.label.onway	in transit						
ui.label.items	items						
ui.label.corpse	corpse						
ui.label.ladder_up	ladder up						
ui.label.ladder_down	ladder down						
ui.label.amplifier	Amplifier						
ui.label.container	container						
ui.label.bramfaturaportal	Bramfatura portal						
ui.label.monsterspeed	speed						
ui.label.walkingtype	walking type						
ui.label.cal	kcal						
ui.label.kg	kg						
ui.label.actionpoints_short	AP						
ui.label.turns	turns						
ui.label.health	HP						
ui.label.points_short	pts						
ui.label.row	row						
ui.label.slot	slot						
ui.label.kills	kills						
ui.label.floor	Floor						
ui.label.satietylevel	satiety level						
ui.label.painlevel	pain threshold						
ui.label.reload	weapon reload						
ui.label.clone	clone						
ui.label.equipment	equipment						
ui.label.send	send						
ui.label.exchange_artifacts	exchange						
ui.label.throwgrenade	grenade						
ui.label.applyultimate	ability						
ui.label.focus_Expansion	Expansion						
ui.label.focus_Defense	Defense						
ui.label.focus_Scouting	Scouting						
ui.label.bluemark_disabled	Illegal organization						
ui.label.bluemark_enabled	Thanks for your support						
ui.label.subscribe	subscribe						
ui.label.unsubscribe	unsubscribe						
ui.label.details	Details						
ui.label.operator	Operator						
ui.label.operators	Operators						
ui.label.merc_classes	Classes						
ui.label.start_development	Start development						
ui.label.emptyslot	Empty slot						
ui.label.item	Item						
ui.label.resources	Resources						
ui.label.time	Time						
ui.label.unloadtocargo	Unload all						
ui.label.enemy	Enemy						
ui.label.noinventorywhilerun	Inventory is not available on the run						
ui.label.noobstacleswhilerun	Not available while running						
ui.label.limitwhilebaron	Quasimorphic Storm						
ui.label.limittutorial	Not available yet						
ui.label.remove_item_here	Drag object to remove						
ui.label.sort_arsenal	Sort the Cargo Hold						
ui.label.looted	Searched						
ui.label.stationwner	Owner						
ui.label.locked_by_reputation	Unavailable. Low attitude.						
ui.label.locked_by_techlevel	Unavailable. Unknown Technology.						
ui.label.savedslot	Slot {0}						
ui.label.newsave	New Save						
ui.label.restorechance	Chance of recovery {0}						
ui.label.invalid_version	Outdated version						
ui.label.unexpected_error	Unknown error						
ui.label.no_consume_regen	n/a						
ui.label.perk	Perk						
ui.label.status_effect	Status Effect						
ui.label.wound	Wound						
ui.label.addiction	Addiction						
ui.label.manufacturers	Manufacturers						
ui.label.consumers	Consumers						
ui.label.Income	Income						
ui.label.expense	Expense						
ui.label.hazards	Dangerous tile						
ui.label.disassemble_corpse_items	Disassemble everything						
ui.label.amputate_corpse_slots	Amputate everything						
ui.label.upgrade	Upgrade						
ui.label.no_device	no device						
ui.label.installed	Installed						
ui.label.available	Available						
ui.label.not_available	Not available						
ui.label.blocked	Blocked						
ui.label.standalone	Stand-alone						
ui.label.damaged	Damaged						
ui.label.status_tradebreak	Trade break						
ui.label.passive_perks	Passive perks						
ui.label.trigger_perks	Trigger perks						
ui.label.weapon_trait	Weapon ability						
ui.label.no_projects_available	No projects available						
ui.label.no_operators_available	No operators available						
ui.label.cloning	Cloning in process						
ui.label.healing	Healing in progress						
ui.label.training	Training in progress						
ui.label.no_items	Empty backpack						
ui.label.usable_limits	Working with:						
ui.label.rank_levelup_limit_reached	Rank increase limit reached						
ui.label.rank_levelup_after_raid	The operative's rank has been raised						
ui.label.require_battle_cond	Need experience capacitor for rank increase						
ui.label.callcapsule	Call the capsule						
ui.label.timeSuffixPM	PM						
ui.label.timeSuffixAM	AM						
ui.label.no_trade_items_available	No items available						
ui.label.buy	buy						
ui.label.sell	sell						
ui.label.discount	discount						
ui.label.extracharge	extra charge						
ui.label.low_reputation	low reputation						
ui.label.customize	customize						
ui.label.all_perk_types	all						
ui.label.active_contracts	Active contracts						
ui.label.faction_strategy	Faction strategy						
ui.label.selected_strategy	Current strategy						
ui.label.difficulty	Difficulty						
ui.label.combat	Combat						
ui.label.general	General						
ui.label.sandbox	Sandbox						
ui.label.independent	Independent						
ui.label.faction_assets	Faction assets						
ui.label.faction_assets_shortdesc	Faction owned properties						
